emp_no,salary,from_date,to_date
10234,87361,18-11-1992,18-11-1993
10234,90986,18-11-1993,18-11-1994
10234,93052,18-11-1994,18-11-1995
10234,96269,18-11-1995,17-11-1996
10234,96294,17-11-1996,17-11-1997
10234,100366,17-11-1997,17-11-1998
10234,102754,17-11-1998,06-08-1999
10235,41941,06-04-1995,04-04-1996
10235,45643,04-04-1996,04-04-1997
10235,49559,04-04-1997,04-04-1998
10235,52435,04-04-1998,05-04-1999
10235,51979,05-04-1999,04-04-2000
10235,53938,04-04-2000,04-04-2001
10235,57614,04-04-2001,03-04-2002
10235,57532,03-04-2002,01-01-9999
10236,80469,30-08-1996,30-08-1997
10236,84161,30-08-1997,30-08-1998
10236,88363,30-08-1998,30-08-1999
10236,89021,30-08-1999,29-08-2000
10236,90389,29-08-2000,29-08-2001
10236,92118,29-08-2001,01-01-9999
10237,100715,11-08-1989,11-08-1990
10237,104925,11-08-1990,11-08-1991
10237,106126,11-08-1991,10-08-1992
10237,106071,10-08-1992,10-08-1993
10237,108816,10-08-1993,10-08-1994
10237,112892,10-08-1994,10-08-1995
10237,117295,10-08-1995,09-08-1996
10237,118419,09-08-1996,09-08-1997
10237,118656,09-08-1997,09-08-1998
10237,122275,09-08-1998,09-08-1999
10237,125947,09-08-1999,21-02-2000
10238,52764,31-03-1995,30-03-1996
10238,54099,30-03-1996,30-03-1997
10238,53991,30-03-1997,30-03-1998
10238,53744,30-03-1998,30-03-1999
10238,57761,30-03-1999,29-03-2000
10238,60897,29-03-2000,29-03-2001
10238,63980,29-03-2001,29-03-2002
10238,67630,29-03-2002,01-01-9999
10239,65146,04-05-1996,04-05-1997
10239,69244,04-05-1997,04-05-1998
10239,72008,04-05-1998,04-05-1999
10239,72316,04-05-1999,03-05-2000
10239,76290,03-05-2000,03-05-2001
10239,80624,03-05-2001,03-05-2002
10239,82905,03-05-2002,01-01-9999
10240,73874,06-10-1998,06-10-1999
10240,74279,06-10-1999,05-10-2000
10240,78218,05-10-2000,05-10-2001
10240,77906,05-10-2001,01-01-9999
10241,40000,12-06-1988,12-06-1989
10241,41691,12-06-1989,12-06-1990
10241,42503,12-06-1990,12-06-1991
10241,45609,12-06-1991,11-06-1992
10241,48962,11-06-1992,11-06-1993
10241,50058,11-06-1993,11-06-1994
10241,51098,11-06-1994,11-06-1995
10241,53233,11-06-1995,10-06-1996
10241,53469,10-06-1996,10-06-1997
10241,57352,10-06-1997,10-06-1998
10241,58629,10-06-1998,10-06-1999
10241,58368,10-06-1999,09-06-2000
10241,60341,09-06-2000,09-06-2001
10241,64804,09-06-2001,09-06-2002
10241,65069,09-06-2002,01-01-9999
10242,40000,18-01-1988,17-01-1989
10242,41114,17-01-1989,17-01-1990
10242,44392,17-01-1990,17-01-1991
10242,47224,17-01-1991,17-01-1992
10242,48833,17-01-1992,16-01-1993
10242,49880,16-01-1993,16-01-1994
10242,52412,16-01-1994,16-01-1995
10242,55916,16-01-1995,16-01-1996
10242,56218,16-01-1996,15-01-1997
10242,58892,15-01-1997,15-01-1998
10242,61790,15-01-1998,15-01-1999
10242,64805,15-01-1999,15-01-2000
10242,66283,15-01-2000,14-01-2001
10242,65938,14-01-2001,14-01-2002
10242,69619,14-01-2002,01-01-9999
10243,59332,07-06-1986,07-06-1987
10243,62559,07-06-1987,06-06-1988
10243,63970,06-06-1988,06-06-1989
10243,64042,06-06-1989,06-06-1990
10243,64389,06-06-1990,06-06-1991
10243,66529,06-06-1991,05-06-1992
10243,67820,05-06-1992,05-06-1993
10243,67817,05-06-1993,05-06-1994
10243,68158,05-06-1994,05-06-1995
10243,67910,05-06-1995,04-06-1996
10243,70556,04-06-1996,04-06-1997
10243,73570,04-06-1997,04-06-1998
10243,74429,04-06-1998,04-06-1999
10243,78268,04-06-1999,03-06-2000
10243,82343,03-06-2000,03-06-2001
10243,86756,03-06-2001,03-06-2002
10243,90542,03-06-2002,01-01-9999
10244,56292,16-09-1999,15-09-2000
10244,60417,15-09-2000,15-09-2001
10244,63041,15-09-2001,01-01-9999
10245,40000,21-04-1994,20-02-1995
10246,40000,01-02-1991,01-02-1992
10246,39973,01-02-1992,31-01-1993
10246,42281,31-01-1993,31-01-1994
10246,45737,31-01-1994,31-01-1995
10246,50004,31-01-1995,31-01-1996
10246,54458,31-01-1996,30-01-1997
10246,57560,30-01-1997,30-01-1998
10246,58623,30-01-1998,30-01-1999
10246,60498,30-01-1999,30-01-2000
10246,64431,30-01-2000,29-01-2001
10246,67035,29-01-2001,29-01-2002
10246,67906,29-01-2002,01-01-9999
10247,40000,14-08-1992,14-08-1993
10247,40582,14-08-1993,14-08-1994
10247,44741,14-08-1994,14-08-1995
10247,45300,14-08-1995,13-08-1996
10247,47455,13-08-1996,13-08-1997
10247,47058,13-08-1997,13-08-1998
10247,50984,13-08-1998,13-08-1999
10247,54962,13-08-1999,12-08-2000
10247,55486,12-08-2000,12-08-2001
10247,56935,12-08-2001,01-01-9999
10248,58918,13-08-1991,12-08-1992
10248,62186,12-08-1992,12-08-1993
10248,61833,12-08-1993,12-08-1994
10248,66156,12-08-1994,12-08-1995
10248,70111,12-08-1995,11-08-1996
10248,71103,11-08-1996,11-08-1997
10248,74635,11-08-1997,11-08-1998
10248,74726,11-08-1998,11-08-1999
10248,77412,11-08-1999,10-08-2000
10248,77038,10-08-2000,10-08-2001
10248,77848,10-08-2001,01-01-9999
10249,72192,08-12-1991,07-12-1992
10249,72802,07-12-1992,07-12-1993
10249,73918,07-12-1993,07-12-1994
10249,77315,07-12-1994,07-12-1995
10249,78035,07-12-1995,06-12-1996
10249,78480,06-12-1996,06-12-1997
10249,81891,06-12-1997,06-12-1998
10249,83144,06-12-1998,06-12-1999
10249,84291,06-12-1999,05-12-2000
10249,85860,05-12-2000,05-12-2001
10249,85676,05-12-2001,01-01-9999
10250,50330,30-08-1992,30-08-1993
10250,52573,30-08-1993,30-08-1994
10250,56218,30-08-1994,30-08-1995
10250,57085,30-08-1995,29-08-1996
10250,59445,29-08-1996,29-08-1997
10250,59282,29-08-1997,29-08-1998
10250,59871,29-08-1998,29-08-1999
10250,61695,29-08-1999,28-08-2000
10250,65784,28-08-2000,28-08-2001
10250,65617,28-08-2001,01-01-9999
10251,61743,25-06-1992,25-06-1993
10251,64053,25-06-1993,25-06-1994
10251,63718,25-06-1994,25-06-1995
10251,66811,25-06-1995,24-06-1996
10251,70427,24-06-1996,24-06-1997
10251,73752,24-06-1997,24-06-1998
10251,76358,24-06-1998,24-06-1999
10251,79704,24-06-1999,23-06-2000
10251,84091,23-06-2000,23-06-2001
10251,87326,23-06-2001,23-06-2002
10251,88948,23-06-2002,01-01-9999
10252,40000,08-11-1990,08-11-1991
10252,42783,08-11-1991,07-11-1992
10252,46689,07-11-1992,07-11-1993
10252,46198,07-11-1993,07-11-1994
10252,48494,07-11-1994,07-11-1995
10252,48611,07-11-1995,06-11-1996
10252,49606,06-11-1996,06-11-1997
10252,50665,06-11-1997,06-11-1998
10252,50633,06-11-1998,06-11-1999
10252,51187,06-11-1999,05-11-2000
10252,51932,05-11-2000,05-11-2001
10252,55435,05-11-2001,01-01-9999
10253,62494,21-02-1985,21-02-1986
10253,65782,21-02-1986,21-02-1987
10253,67819,21-02-1987,21-02-1988
10253,67718,21-02-1988,20-02-1989
10253,71769,20-02-1989,20-02-1990
10253,73550,20-02-1990,20-02-1991
10253,76110,20-02-1991,20-02-1992
10253,80522,20-02-1992,19-02-1993
10253,81699,19-02-1993,19-02-1994
10253,81430,19-02-1994,20-03-1994
10254,60222,14-06-1990,14-06-1991
10254,61112,14-06-1991,13-06-1992
10254,65602,13-06-1992,13-06-1993
10254,67256,13-06-1993,13-06-1994
10254,69257,13-06-1994,13-06-1995
10254,71540,13-06-1995,12-06-1996
10254,72336,12-06-1996,12-06-1997
10254,72380,12-06-1997,12-06-1998
10254,74305,12-06-1998,12-06-1999
10254,77136,12-06-1999,11-06-2000
10254,79740,11-06-2000,11-06-2001
10254,83198,11-06-2001,11-06-2002
10254,85691,11-06-2002,01-01-9999
10255,63822,12-05-1993,12-05-1994
10255,64558,12-05-1994,12-05-1995
10255,64411,12-05-1995,11-05-1996
10255,66651,11-05-1996,11-05-1997
10255,71109,11-05-1997,11-05-1998
10255,71173,11-05-1998,11-05-1999
10255,72190,11-05-1999,14-11-1999
10256,71305,12-10-1985,12-10-1986
10256,71561,12-10-1986,12-10-1987
10256,75373,12-10-1987,11-10-1988
10256,77923,11-10-1988,11-10-1989
10256,80567,11-10-1989,11-10-1990
10256,82196,11-10-1990,11-10-1991
10256,83540,11-10-1991,10-10-1992
10256,84167,10-10-1992,10-10-1993
10256,88379,10-10-1993,10-10-1994
10256,92458,10-10-1994,10-10-1995
10256,96074,10-10-1995,09-10-1996
10256,96199,09-10-1996,09-10-1997
10256,99890,09-10-1997,09-10-1998
10256,102431,09-10-1998,09-10-1999
10256,105183,09-10-1999,08-10-2000
10256,109222,08-10-2000,08-10-2001
10256,109040,08-10-2001,01-01-9999
10257,40000,16-07-1997,16-07-1998
10257,40327,16-07-1998,16-07-1999
10257,42229,16-07-1999,15-07-2000
10257,46554,15-07-2000,15-07-2001
10257,48194,15-07-2001,15-07-2002
10257,52114,15-07-2002,01-01-9999
10258,66280,17-05-1985,17-05-1986
10258,70375,17-05-1986,17-05-1987
10258,72340,17-05-1987,16-05-1988
10258,76648,16-05-1988,16-05-1989
10258,78085,16-05-1989,16-05-1990
10258,82555,16-05-1990,16-05-1991
10258,83977,16-05-1991,15-05-1992
10258,86445,15-05-1992,15-05-1993
10258,90341,15-05-1993,15-05-1994
10258,89891,15-05-1994,15-05-1995
10258,94064,15-05-1995,14-05-1996
10258,97898,14-05-1996,14-05-1997
10258,100587,14-05-1997,14-05-1998
10258,102901,14-05-1998,14-05-1999
10258,105128,14-05-1999,13-05-2000
10258,105845,13-05-2000,13-05-2001
10258,106912,13-05-2001,13-05-2002
10258,110212,13-05-2002,01-01-9999
10259,88991,25-07-1987,24-07-1988
10259,90386,24-07-1988,24-07-1989
10259,91690,24-07-1989,24-07-1990
10259,93760,24-07-1990,24-07-1991
10259,94623,24-07-1991,23-07-1992
10259,95258,23-07-1992,23-07-1993
10259,95769,23-07-1993,23-07-1994
10259,95745,23-07-1994,23-07-1995
10259,98799,23-07-1995,22-07-1996
10259,101723,22-07-1996,22-07-1997
10259,103794,22-07-1997,22-07-1998
10259,106127,22-07-1998,06-01-1999
10260,60879,01-02-1993,01-02-1994
10260,65102,01-02-1994,01-02-1995
10260,65140,01-02-1995,01-02-1996
10260,69458,01-02-1996,31-01-1997
10260,69054,31-01-1997,31-01-1998
10260,70696,31-01-1998,31-01-1999
10260,73706,31-01-1999,31-01-2000
10260,75547,31-01-2000,30-01-2001
10260,75193,30-01-2001,30-01-2002
10260,76081,30-01-2002,01-01-9999
10261,40000,11-09-1996,11-09-1997
10261,42298,11-09-1997,11-09-1998
10261,46020,11-09-1998,23-02-1999
10262,63005,22-01-1996,21-01-1997
10262,62810,21-01-1997,21-01-1998
10262,66547,21-01-1998,21-01-1999
10262,67957,21-01-1999,21-01-2000
10262,69626,21-01-2000,20-01-2001
10262,74094,20-01-2001,20-01-2002
10262,77648,20-01-2002,01-01-9999
10263,67883,21-12-1996,21-12-1997
10263,68147,21-12-1997,21-12-1998
10263,70813,21-12-1998,21-12-1999
10263,72959,21-12-1999,20-12-2000
10263,73966,20-12-2000,20-12-2001
10263,73625,20-12-2001,01-01-9999
10264,60522,16-07-1997,16-07-1998
10264,61675,16-07-1998,16-07-1999
10264,63238,16-07-1999,15-07-2000
10264,65226,15-07-2000,15-07-2001
10264,66229,15-07-2001,15-07-2002
10264,66168,15-07-2002,01-01-9999
10265,46382,12-09-1997,12-09-1998
10265,48758,12-09-1998,12-09-1999
10265,48999,12-09-1999,11-09-2000
10265,49897,11-09-2000,11-09-2001
10265,52083,11-09-2001,01-01-9999
10266,47093,25-05-1990,25-05-1991
10266,49381,25-05-1991,24-05-1992
10266,53500,24-05-1992,24-05-1993
10266,56748,24-05-1993,24-05-1994
10266,60600,24-05-1994,24-05-1995
10266,64180,24-05-1995,23-05-1996
10266,64443,23-05-1996,23-05-1997
10266,66785,23-05-1997,23-05-1998
10266,68674,23-05-1998,23-05-1999
10266,72210,23-05-1999,22-05-2000
10266,73992,22-05-2000,22-05-2001
10266,77711,22-05-2001,22-05-2002
10266,81099,22-05-2002,01-01-9999
10267,40000,26-04-1997,26-04-1998
10267,39871,26-04-1998,26-04-1999
10267,39539,26-04-1999,25-04-2000
10267,40259,25-04-2000,25-04-2001
10267,39838,25-04-2001,25-04-2002
10267,43842,25-04-2002,01-01-9999
10268,41017,17-12-1986,17-12-1987
10268,44792,17-12-1987,16-12-1988
10268,48119,16-12-1988,16-12-1989
10268,49389,16-12-1989,17-08-1990
10269,40000,24-07-1988,24-07-1989
10269,41946,24-07-1989,24-07-1990
10269,45637,24-07-1990,24-07-1991
10269,47908,24-07-1991,23-07-1992
10269,51795,23-07-1992,23-07-1993
10269,51463,23-07-1993,23-07-1994
10269,51643,23-07-1994,23-07-1995
10269,52061,23-07-1995,22-07-1996
10269,52780,22-07-1996,22-07-1997
10269,54786,22-07-1997,22-07-1998
10269,54550,22-07-1998,22-07-1999
10269,54666,22-07-1999,21-07-2000
10269,57064,21-07-2000,21-07-2001
10269,58659,21-07-2001,21-07-2002
10269,61759,21-07-2002,01-01-9999
10270,42081,26-09-1991,25-09-1992
10270,41631,25-09-1992,25-09-1993
10270,45506,25-09-1993,25-09-1994
10270,47328,25-09-1994,25-09-1995
10270,49877,25-09-1995,24-09-1996
10270,52991,24-09-1996,24-09-1997
10270,55399,24-09-1997,24-09-1998
10270,55920,24-09-1998,24-09-1999
10270,56170,24-09-1999,23-09-2000
10270,56671,23-09-2000,23-09-2001
10270,57784,23-09-2001,01-01-9999
10271,53680,23-05-1986,23-05-1987
10271,57654,23-05-1987,22-05-1988
10271,58159,22-05-1988,22-05-1989
10271,59657,22-05-1989,22-05-1990
10271,62343,22-05-1990,22-05-1991
10271,66147,22-05-1991,21-05-1992
10271,70229,21-05-1992,21-05-1993
10271,73671,21-05-1993,21-05-1994
10271,75442,21-05-1994,21-05-1995
10271,77944,21-05-1995,20-05-1996
10271,80238,20-05-1996,20-05-1997
10271,81150,20-05-1997,20-05-1998
10271,83477,20-05-1998,20-05-1999
10271,85144,20-05-1999,19-05-2000
10271,85501,19-05-2000,19-05-2001
10271,88028,19-05-2001,19-05-2002
10271,91010,19-05-2002,01-01-9999
10272,58070,23-10-1997,23-10-1998
10272,58590,23-10-1998,23-10-1999
10272,61158,23-10-1999,22-10-2000
10272,63802,22-10-2000,22-10-2001
10272,67888,22-10-2001,01-01-9999
10273,75148,06-11-1985,06-11-1986
10273,76021,06-11-1986,06-11-1987
10273,77364,06-11-1987,05-11-1988
10273,78677,05-11-1988,05-11-1989
10273,78322,05-11-1989,05-11-1990
10273,81878,05-11-1990,05-11-1991
10273,84820,05-11-1991,04-11-1992
10273,88989,04-11-1992,04-11-1993
10273,89773,04-11-1993,04-11-1994
10273,89997,04-11-1994,04-11-1995
10273,90077,04-11-1995,03-11-1996
10273,89818,03-11-1996,03-11-1997
10273,89562,03-11-1997,03-11-1998
10273,93174,03-11-1998,03-11-1999
10273,93379,03-11-1999,02-11-2000
10273,93692,02-11-2000,02-11-2001
10273,93350,02-11-2001,01-01-9999
10274,86164,02-02-1997,02-02-1998
10274,89682,02-02-1998,02-02-1999
10274,93048,02-02-1999,02-02-2000
10274,96678,02-02-2000,01-02-2001
10274,97190,01-02-2001,01-02-2002
10274,97449,01-02-2002,01-01-9999
10275,40000,08-09-1987,07-09-1988
10275,40068,07-09-1988,07-09-1989
10275,41693,07-09-1989,07-09-1990
10275,42475,07-09-1990,07-09-1991
10275,44365,07-09-1991,06-09-1992
10275,46762,06-09-1992,06-09-1993
10275,50656,06-09-1993,06-09-1994
10275,52841,06-09-1994,06-09-1995
10275,54076,06-09-1995,05-09-1996
10275,55079,05-09-1996,05-09-1997
10275,57875,05-09-1997,05-09-1998
10275,59767,05-09-1998,05-09-1999
10275,63402,05-09-1999,04-09-2000
10275,64654,04-09-2000,04-09-2001
10275,68583,04-09-2001,01-01-9999
10276,40000,19-10-1986,19-10-1987
10276,42312,19-10-1987,18-10-1988
10276,43682,18-10-1988,18-10-1989
10276,47643,18-10-1989,18-10-1990
10276,47841,18-10-1990,18-10-1991
10276,51098,18-10-1991,17-10-1992
10276,52055,17-10-1992,17-10-1993
10276,51681,17-10-1993,17-10-1994
10276,51565,17-10-1994,17-10-1995
10276,51465,17-10-1995,16-10-1996
10276,51264,16-10-1996,16-10-1997
10276,51308,16-10-1997,16-10-1998
10276,55189,16-10-1998,16-10-1999
10276,57633,16-10-1999,04-02-2000
10277,59534,16-06-1985,16-06-1986
10277,63783,16-06-1986,16-06-1987
10277,66277,16-06-1987,15-06-1988
10277,66060,15-06-1988,15-06-1989
10277,65886,15-06-1989,15-06-1990
10277,67673,15-06-1990,15-06-1991
10277,72084,15-06-1991,14-06-1992
10277,72688,14-06-1992,14-06-1993
10277,72780,14-06-1993,14-06-1994
10277,73601,14-06-1994,14-06-1995
10277,74252,14-06-1995,13-06-1996
10277,77930,13-06-1996,13-06-1997
10277,82247,13-06-1997,13-06-1998
10277,84896,13-06-1998,13-06-1999
10277,85862,13-06-1999,12-06-2000
10277,86608,12-06-2000,12-06-2001
10277,90674,12-06-2001,12-06-2002
10277,91882,12-06-2002,01-01-9999
10278,51703,02-07-1993,02-07-1994
10278,53970,02-07-1994,02-07-1995
10278,57292,02-07-1995,01-07-1996
10278,61720,01-07-1996,14-02-1997
10279,40000,26-04-1995,25-04-1996
10279,42551,25-04-1996,25-04-1997
10279,46208,25-04-1997,25-04-1998
10279,49362,25-04-1998,25-04-1999
10279,49955,25-04-1999,24-04-2000
10279,52423,24-04-2000,24-04-2001
10279,54341,24-04-2001,24-04-2002
10279,55385,24-04-2002,01-01-9999
10280,66695,27-01-1995,27-01-1996
10280,67496,27-01-1996,26-01-1997
10280,69704,26-01-1997,26-01-1998
10280,71103,26-01-1998,26-01-1999
10280,74392,26-01-1999,26-01-2000
10280,76642,26-01-2000,25-01-2001
10280,80740,25-01-2001,25-01-2002
10280,80485,25-01-2002,01-01-9999
10281,46123,03-12-1994,03-12-1995
10281,49920,03-12-1995,02-12-1996
10281,54090,02-12-1996,02-12-1997
10281,54825,02-12-1997,02-12-1998
10281,54784,02-12-1998,02-12-1999
10281,56011,02-12-1999,01-12-2000
10281,59933,01-12-2000,01-12-2001
10281,63400,01-12-2001,01-01-9999
10282,40000,02-05-1996,02-05-1997
10282,39682,02-05-1997,02-05-1998
10282,39265,02-05-1998,02-05-1999
10282,41613,02-05-1999,01-05-2000
10282,44823,01-05-2000,01-05-2001
10282,45141,01-05-2001,01-05-2002
10282,47506,01-05-2002,01-01-9999
10283,40000,25-05-1988,25-05-1989
10283,44077,25-05-1989,25-05-1990
10283,47995,25-05-1990,25-05-1991
10283,49919,25-05-1991,24-05-1992
10283,49623,24-05-1992,24-05-1993
10283,51327,24-05-1993,24-05-1994
10283,52992,24-05-1994,24-05-1995
10283,57329,24-05-1995,23-05-1996
10283,57241,23-05-1996,23-05-1997
10283,57233,23-05-1997,23-05-1998
10283,57162,23-05-1998,23-05-1999
10283,58210,23-05-1999,22-05-2000
10283,59772,22-05-2000,22-05-2001
10283,62118,22-05-2001,22-05-2002
10283,61686,22-05-2002,01-01-9999
10284,40000,06-07-1999,05-07-2000
10284,39773,05-07-2000,05-07-2001
10284,44243,05-07-2001,05-07-2002
10284,46017,05-07-2002,01-01-9999
10285,62075,25-05-1995,24-05-1996
10285,62046,24-05-1996,24-05-1997
10285,64533,24-05-1997,24-05-1998
10285,67483,24-05-1998,24-05-1999
10285,70001,24-05-1999,23-05-2000
10285,71041,23-05-2000,23-05-2001
10285,73973,23-05-2001,23-05-2002
10285,76312,23-05-2002,01-01-9999
10286,40000,24-12-1994,24-12-1995
10286,41307,24-12-1995,23-12-1996
10286,45279,23-12-1996,23-12-1997
10286,46541,23-12-1997,23-12-1998
10286,46588,23-12-1998,24-01-1999
10287,55732,28-12-1992,28-12-1993
10287,59664,28-12-1993,28-12-1994
10287,62003,28-12-1994,28-12-1995
10287,65529,28-12-1995,27-12-1996
10287,65857,27-12-1996,27-12-1997
10287,69331,27-12-1997,27-12-1998
10287,72845,27-12-1998,27-12-1999
10287,76006,27-12-1999,26-12-2000
10287,78584,26-12-2000,26-12-2001
10287,79615,26-12-2001,01-01-9999
10288,80474,29-08-1994,29-08-1995
10288,84857,29-08-1995,28-08-1996
10288,87386,28-08-1996,28-08-1997
10288,88562,28-08-1997,28-08-1998
10288,91833,28-08-1998,28-08-1999
10288,96002,28-08-1999,27-08-2000
10288,95786,27-08-2000,27-08-2001
10288,96620,27-08-2001,01-01-9999
10289,40000,12-03-1993,12-03-1994
10289,43428,12-03-1994,12-03-1995
10289,44740,12-03-1995,11-03-1996
10289,44814,11-03-1996,11-03-1997
10289,44739,11-03-1997,11-03-1998
10289,48426,11-03-1998,11-03-1999
10289,49054,11-03-1999,10-03-2000
10289,49175,10-03-2000,10-03-2001
10289,49707,10-03-2001,31-01-2002
10290,44274,18-09-1991,17-09-1992
10290,46268,17-09-1992,17-09-1993
10290,47651,17-09-1993,17-09-1994
10290,49367,17-09-1994,17-09-1995
10290,52166,17-09-1995,16-09-1996
10290,52612,16-09-1996,16-09-1997
10290,54092,16-09-1997,16-09-1998
10290,56713,16-09-1998,16-09-1999
10290,59400,16-09-1999,15-09-2000
10290,59752,15-09-2000,15-09-2001
10290,62455,15-09-2001,01-01-9999
10291,57430,30-03-1987,29-03-1988
10291,60003,29-03-1988,29-03-1989
10291,61457,29-03-1989,29-03-1990
10291,62439,29-03-1990,29-03-1991
10291,64280,29-03-1991,28-03-1992
10291,67166,28-03-1992,28-03-1993
10291,69156,28-03-1993,28-03-1994
10291,68897,28-03-1994,28-03-1995
10291,71471,28-03-1995,27-03-1996
10291,71663,27-03-1996,27-03-1997
10291,73312,27-03-1997,27-03-1998
10291,74583,27-03-1998,27-03-1999
10291,77758,27-03-1999,26-03-2000
10291,81199,26-03-2000,26-03-2001
10291,84571,26-03-2001,26-03-2002
10291,86090,26-03-2002,01-01-9999
10292,78370,05-06-1989,05-06-1990
10292,78838,05-06-1990,05-06-1991
10292,81986,05-06-1991,04-06-1992
10292,83682,04-06-1992,04-06-1993
10292,84045,04-06-1993,04-06-1994
10292,85028,04-06-1994,04-06-1995
10292,88286,04-06-1995,03-06-1996
10292,91013,03-06-1996,03-06-1997
10292,93776,03-06-1997,03-06-1998
10292,94676,03-06-1998,03-06-1999
10292,98388,03-06-1999,02-06-2000
10292,100643,02-06-2000,02-06-2001
10292,104385,02-06-2001,02-06-2002
10292,106632,02-06-2002,01-01-9999
10293,44200,12-12-1992,12-12-1993
10293,45143,12-12-1993,12-12-1994
10293,49134,12-12-1994,12-12-1995
10293,50857,12-12-1995,11-12-1996
10293,54585,11-12-1996,11-12-1997
10293,58693,11-12-1997,11-12-1998
10293,59009,11-12-1998,11-12-1999
10293,61877,11-12-1999,10-12-2000
10293,62650,10-12-2000,10-12-2001
10293,64424,10-12-2001,01-01-9999
10294,66448,30-01-1999,04-05-1999
10295,46398,19-06-1995,18-06-1996
10295,47440,18-06-1996,18-06-1997
10295,48556,18-06-1997,18-06-1998
10295,49187,18-06-1998,18-06-1999
10295,51375,18-06-1999,17-06-2000
10295,52811,17-06-2000,17-06-2001
10295,52346,17-06-2001,17-06-2002
10295,52162,17-06-2002,01-01-9999
10296,77788,16-09-1989,16-09-1990
10296,77797,16-09-1990,16-09-1991
10296,81920,16-09-1991,15-09-1992
10296,85412,15-09-1992,15-09-1993
10296,88218,15-09-1993,15-09-1994
10296,91767,15-09-1994,15-09-1995
10296,92360,15-09-1995,14-09-1996
10296,92223,14-09-1996,14-09-1997
10296,94883,14-09-1997,14-09-1998
10296,99043,14-09-1998,14-09-1999
10296,100781,14-09-1999,13-09-2000
10296,104946,13-09-2000,13-09-2001
10296,106087,13-09-2001,01-01-9999
10297,63061,28-05-1986,28-05-1987
10297,66482,28-05-1987,27-05-1988
10297,69667,27-05-1988,27-05-1989
10297,73769,27-05-1989,27-05-1990
10297,76780,27-05-1990,27-05-1991
10297,80896,27-05-1991,26-05-1992
10297,81153,26-05-1992,26-05-1993
10297,84595,26-05-1993,26-05-1994
10297,85973,26-05-1994,26-05-1995
10297,88824,26-05-1995,25-05-1996
10297,92900,25-05-1996,25-05-1997
10297,92446,25-05-1997,25-05-1998
10297,95830,25-05-1998,25-05-1999
10297,96169,25-05-1999,24-05-2000
10297,95808,24-05-2000,24-05-2001
10297,96961,24-05-2001,24-05-2002
10297,100018,24-05-2002,01-01-9999
10298,40000,27-04-1999,26-04-2000
10298,39994,26-04-2000,26-04-2001
10298,43705,26-04-2001,26-04-2002
10298,43923,26-04-2002,01-01-9999
10299,76484,10-01-1990,10-01-1991
10299,77332,10-01-1991,10-01-1992
10299,78855,10-01-1992,09-01-1993
10299,78890,09-01-1993,09-01-1994
10299,81584,09-01-1994,09-01-1995
10299,83820,09-01-1995,09-01-1996
10299,87395,09-01-1996,08-01-1997
10299,89057,08-01-1997,08-01-1998
10299,92219,08-01-1998,08-01-1999
10299,93012,08-01-1999,08-01-2000
10299,96431,08-01-2000,07-01-2001
10299,96605,07-01-2001,07-01-2002
10299,98711,07-01-2002,01-01-9999
10300,72504,17-05-1991,16-05-1992
10300,76773,16-05-1992,16-05-1993
10300,78564,16-05-1993,16-05-1994
10300,82747,16-05-1994,16-05-1995
10300,85224,16-05-1995,15-05-1996
10300,85824,15-05-1996,15-05-1997
10300,88549,15-05-1997,15-05-1998
10300,88337,15-05-1998,15-05-1999
10300,92227,15-05-1999,14-05-2000
10300,96395,14-05-2000,14-05-2001
10300,97640,14-05-2001,14-05-2002
10300,101239,14-05-2002,01-01-9999
10301,40000,23-05-1988,23-05-1989
10301,43425,23-05-1989,23-05-1990
10301,44804,23-05-1990,23-05-1991
10301,46040,23-05-1991,22-05-1992
10301,50538,22-05-1992,22-05-1993
10301,52114,22-05-1993,22-05-1994
10301,55412,22-05-1994,22-05-1995
10301,57085,22-05-1995,21-05-1996
10301,60708,21-05-1996,21-05-1997
10301,60971,21-05-1997,21-05-1998
10301,63114,21-05-1998,21-05-1999
10301,64793,21-05-1999,20-05-2000
10301,67672,20-05-2000,20-05-2001
10301,69946,20-05-2001,20-05-2002
10301,72396,20-05-2002,01-01-9999
10302,58239,22-07-1986,22-07-1987
10302,61778,22-07-1987,21-07-1988
10302,62695,21-07-1988,21-07-1989
10302,65332,21-07-1989,21-07-1990
10302,67408,21-07-1990,21-07-1991
10302,70300,21-07-1991,20-07-1992
10302,71974,20-07-1992,20-07-1993
10302,74671,20-07-1993,20-07-1994
10302,77204,20-07-1994,20-07-1995
10302,79002,20-07-1995,19-07-1996
10302,83496,19-07-1996,19-07-1997
10302,85155,19-07-1997,19-07-1998
10302,87956,19-07-1998,19-07-1999
10302,91254,19-07-1999,09-11-1999
10303,40000,05-02-1990,05-02-1991
10303,41338,05-02-1991,05-02-1992
10303,44715,05-02-1992,04-02-1993
10303,45157,04-02-1993,04-02-1994
10303,45518,04-02-1994,04-02-1995
10303,46304,04-02-1995,04-02-1996
10303,49333,04-02-1996,03-02-1997
10303,53102,03-02-1997,03-02-1998
10303,55927,03-02-1998,03-02-1999
10303,56326,03-02-1999,03-02-2000
10303,60426,03-02-2000,15-11-2000
10304,106905,16-11-1992,16-11-1993
10304,110731,16-11-1993,16-11-1994
10304,113812,16-11-1994,16-11-1995
10304,117270,16-11-1995,15-11-1996
10304,118092,15-11-1996,15-11-1997
10304,118270,15-11-1997,15-11-1998
