emp_no,dept_no,from_date,to_date
18892,d007,07-04-1988,25-02-1996
18092,d008,08-04-1988,01-01-9999
19148,d004,09-04-1988,01-01-9999
20197,d009,09-04-1988,07-09-1990
21548,d005,09-04-1988,01-01-9999
18961,d005,10-04-1988,05-10-2001
15566,d007,11-04-1988,01-01-9999
18320,d004,11-04-1988,23-02-2001
11508,d004,12-04-1988,01-01-9999
11802,d005,12-04-1988,01-01-9999
14496,d002,12-04-1988,06-11-1999
16605,d009,12-04-1988,01-01-9999
18595,d002,12-04-1988,01-01-9999
19449,d007,12-04-1988,01-01-9999
15226,d005,13-04-1988,21-02-2000
19580,d007,13-04-1988,01-01-9999
12061,d001,14-04-1988,01-01-9999
17709,d005,14-04-1988,01-01-9999
21616,d001,14-04-1988,01-01-9999
10268,d004,15-04-1988,17-08-1990
16007,d005,15-04-1988,01-01-9999
16982,d004,15-04-1988,26-04-1993
18155,d004,15-04-1988,01-01-9999
20889,d007,15-04-1988,03-11-1995
20976,d005,15-04-1988,01-01-9999
11883,d006,16-04-1988,28-10-1990
19108,d008,16-04-1988,27-01-1993
17541,d006,17-04-1988,01-01-9999
21734,d009,17-04-1988,22-02-2002
20306,d004,18-04-1988,01-01-9999
21567,d005,18-04-1988,18-05-1990
10206,d005,19-04-1988,01-01-9999
13885,d008,19-04-1988,20-11-1995
13965,d005,19-04-1988,26-11-2001
15145,d004,19-04-1988,01-01-9999
18357,d004,19-04-1988,01-01-9999
20218,d004,19-04-1988,20-01-1990
10803,d006,20-04-1988,02-04-2002
14993,d005,20-04-1988,01-01-9999
21226,d006,20-04-1988,01-01-9999
18574,d006,21-04-1988,01-01-9999
16476,d004,22-04-1988,01-01-9999
16518,d004,22-04-1988,01-01-9999
21275,d003,22-04-1988,07-06-1997
15791,d004,23-04-1988,04-05-2001
17886,d007,23-04-1988,01-01-9999
18302,d007,23-04-1988,26-09-1993
21250,d005,23-04-1988,02-03-1994
13449,d007,24-04-1988,01-01-9999
17459,d007,24-04-1988,01-01-9999
10058,d001,25-04-1988,01-01-9999
12832,d002,25-04-1988,01-01-9999
15295,d004,25-04-1988,09-11-1995
16777,d008,25-04-1988,10-02-1992
19031,d007,25-04-1988,01-01-9999
15542,d005,26-04-1988,01-01-9999
12425,d006,27-04-1988,16-02-2001
21082,d005,27-04-1988,01-01-9999
12410,d005,28-04-1988,01-01-9999
14927,d008,28-04-1988,28-11-1988
15674,d007,28-04-1988,01-01-9999
16983,d008,28-04-1988,01-01-9999
18612,d007,28-04-1988,05-06-1992
10492,d005,29-04-1988,01-01-9999
18843,d007,29-04-1988,01-01-9999
11759,d004,30-04-1988,01-12-1996
11224,d009,01-05-1988,05-10-1998
16256,d007,02-05-1988,01-01-9999
16767,d004,02-05-1988,01-01-9999
15971,d005,03-05-1988,01-01-9999
18933,d005,03-05-1988,01-01-9999
14757,d002,04-05-1988,22-06-1992
15067,d002,04-05-1988,01-01-9999
20006,d005,04-05-1988,01-01-9999
14465,d007,05-05-1988,01-01-9999
16138,d001,05-05-1988,01-01-9999
19735,d006,05-05-1988,14-04-1989
18865,d005,06-05-1988,23-11-1998
19159,d006,06-05-1988,01-01-9999
15799,d007,07-05-1988,01-01-9999
14408,d005,08-05-1988,10-10-1989
15548,d005,08-05-1988,16-06-1995
20672,d006,08-05-1988,01-01-9999
11030,d007,09-05-1988,08-07-1988
20606,d009,09-05-1988,01-01-9999
10327,d008,10-05-1988,22-05-1993
14764,d004,10-05-1988,01-01-9999
11647,d005,11-05-1988,01-01-9999
19027,d004,11-05-1988,01-01-9999
18648,d004,12-05-1988,29-04-1996
19051,d005,12-05-1988,01-01-9999
15868,d005,13-05-1988,08-11-1995
18572,d008,13-05-1988,01-01-9999
16237,d005,14-05-1988,12-07-1993
18005,d009,14-05-1988,01-01-9999
19414,d001,14-05-1988,01-01-1989
13935,d004,16-05-1988,30-03-1993
21547,d005,16-05-1988,01-01-9999
10075,d005,17-05-1988,15-01-2001
10165,d002,17-05-1988,01-01-9999
20559,d005,17-05-1988,01-01-9999
10480,d002,18-05-1988,03-06-1989
20293,d004,18-05-1988,20-05-2000
10875,d006,19-05-1988,01-01-9999
16703,d004,19-05-1988,01-01-9999
13459,d008,20-05-1988,01-01-9999
15516,d004,20-05-1988,09-11-1998
16191,d004,20-05-1988,01-01-9999
21642,d005,20-05-1988,01-01-9999
17142,d004,21-05-1988,01-01-9999
20776,d002,21-05-1988,11-01-1999
20206,d005,22-05-1988,19-08-1997
10301,d002,23-05-1988,01-01-9999
14893,d005,23-05-1988,01-01-9999
16054,d005,23-05-1988,01-01-9999
18132,d007,23-05-1988,01-01-9999
14222,d001,24-05-1988,01-01-9999
16608,d005,24-05-1988,26-08-1988
18786,d005,24-05-1988,16-09-1997
10283,d005,25-05-1988,01-01-9999
15495,d007,25-05-1988,01-01-9999
18182,d003,25-05-1988,01-01-9999
20490,d009,26-05-1988,04-07-1995
20907,d002,26-05-1988,01-01-9999
18768,d008,29-05-1988,01-01-9999
20894,d005,29-05-1988,01-01-9999
15330,d007,30-05-1988,01-01-9999
11161,d004,31-05-1988,01-01-9999
11308,d009,31-05-1988,24-02-1993
18039,d004,31-05-1988,01-01-9999
21276,d005,31-05-1988,01-01-9999
21561,d008,31-05-1988,01-01-9999
21766,d005,31-05-1988,09-02-1999
15852,d004,01-06-1988,01-01-9999
20882,d001,01-06-1988,01-01-9999
11914,d006,02-06-1988,01-01-9999
12056,d008,02-06-1988,01-01-9999
12771,d009,02-06-1988,01-01-9999
15417,d002,02-06-1988,01-01-9999
18109,d003,02-06-1988,15-05-1991
20148,d007,02-06-1988,01-01-9999
14786,d009,03-06-1988,01-01-9999
17327,d001,03-06-1988,01-01-9999
13181,d004,04-06-1988,09-03-1990
15808,d007,04-06-1988,01-01-9999
12546,d001,05-06-1988,01-01-9999
14594,d008,05-06-1988,01-01-9999
18120,d008,05-06-1988,01-01-9999
20891,d002,05-06-1988,01-01-9999
10128,d009,06-06-1988,01-01-9999
14877,d005,06-06-1988,01-01-9999
17827,d002,06-06-1988,01-01-9999
20435,d007,06-06-1988,01-01-9999
15809,d002,07-06-1988,01-01-9999
15912,d007,07-06-1988,18-05-1998
17841,d004,07-06-1988,01-01-9999
17853,d004,07-06-1988,04-09-1996
18013,d005,07-06-1988,01-01-9999
21014,d004,07-06-1988,01-01-9999
10221,d004,08-06-1988,04-10-2000
13509,d004,08-06-1988,01-01-9999
15821,d005,09-06-1988,01-01-9999
13990,d005,10-06-1988,01-01-9999
14043,d004,10-06-1988,21-01-1993
15189,d005,11-06-1988,01-01-9999
10241,d002,12-06-1988,01-01-9999
12181,d001,12-06-1988,06-04-1994
13749,d006,12-06-1988,01-01-9999
10136,d007,13-06-1988,20-09-1999
10192,d006,13-06-1988,09-08-1999
12303,d008,13-06-1988,19-07-1988
16684,d006,13-06-1988,15-06-2000
20325,d007,14-06-1988,01-01-9999
14833,d003,15-06-1988,01-01-9999
20154,d007,15-06-1988,01-01-9999
10937,d005,16-06-1988,03-05-1991
11897,d007,16-06-1988,01-01-9999
19418,d005,16-06-1988,12-07-1989
15806,d006,17-06-1988,01-01-9999
18513,d005,17-06-1988,01-01-9999
20460,d005,17-06-1988,01-01-9999
20765,d007,17-06-1988,01-01-9999
17797,d007,18-06-1988,06-09-1997
13103,d005,19-06-1988,01-01-9999
17581,d008,19-06-1988,01-01-9999
15682,d006,20-06-1988,01-01-9999
10130,d004,21-06-1988,01-01-9999
10656,d004,21-06-1988,01-01-9999
16456,d004,21-06-1988,01-12-1994
10181,d005,22-06-1988,01-01-9999
11894,d005,22-06-1988,01-01-9999
13219,d004,22-06-1988,01-01-9999
16553,d002,22-06-1988,01-01-9999
16961,d008,22-06-1988,01-01-9999
12795,d002,23-06-1988,01-01-9999
14785,d004,23-06-1988,24-09-1998
12147,d004,24-06-1988,01-01-9999
13826,d001,24-06-1988,01-01-9999
10911,d004,25-06-1988,01-01-9999
16615,d003,25-06-1988,22-06-1992
20668,d007,25-06-1988,07-09-1995
12951,d001,26-06-1988,27-07-1994
14891,d007,27-06-1988,01-01-9999
15061,d004,27-06-1988,01-01-9999
19270,d006,27-06-1988,17-12-1988
10146,d002,28-06-1988,07-09-1990
14505,d003,28-06-1988,16-09-1997
14581,d005,28-06-1988,01-01-9999
21390,d004,28-06-1988,01-01-9999
16027,d005,29-06-1988,01-01-9999
11562,d004,30-06-1988,13-12-1994
13670,d005,30-06-1988,01-01-9999
21726,d005,01-07-1988,01-01-9999
14614,d005,02-07-1988,01-01-9999
17432,d002,02-07-1988,01-04-2001
18024,d007,03-07-1988,06-08-1989
11080,d006,04-07-1988,01-01-9999
15569,d003,04-07-1988,12-12-1998
15291,d005,05-07-1988,01-01-9999
17209,d005,05-07-1988,01-01-9999
18264,d009,05-07-1988,01-01-9999
11826,d004,06-07-1988,01-01-9999
14334,d004,06-07-1988,01-01-9999
14997,d005,06-07-1988,01-01-9999
16963,d005,06-07-1988,01-01-9999
21192,d005,06-07-1988,06-07-1993
13754,d007,07-07-1988,01-01-9999
18174,d007,07-07-1988,01-01-9999
13061,d004,08-07-1988,06-01-1995
16845,d006,08-07-1988,01-01-9999
17544,d004,08-07-1988,01-01-9999
19048,d007,08-07-1988,01-01-9999
10984,d004,09-07-1988,14-05-1993
16092,d003,09-07-1988,01-01-9999
19617,d004,09-07-1988,01-01-9999
16252,d004,10-07-1988,01-01-9999
12220,d002,11-07-1988,21-05-1991
16283,d009,11-07-1988,05-07-1989
10441,d004,12-07-1988,01-01-9999
16733,d004,12-07-1988,13-08-1989
16867,d005,12-07-1988,01-01-9999
19236,d004,12-07-1988,01-01-9999
20988,d005,13-07-1988,01-01-9999
11735,d009,14-07-1988,01-01-9999
20337,d005,14-07-1988,01-01-9999
13188,d004,17-07-1988,21-11-2000
16652,d003,17-07-1988,01-01-9999
20502,d002,17-07-1988,23-03-1992
12686,d003,18-07-1988,06-03-1997
18454,d007,18-07-1988,01-01-9999
16822,d001,19-07-1988,03-03-1989
12286,d002,20-07-1988,01-01-9999
17399,d007,20-07-1988,01-01-9999
10718,d005,21-07-1988,01-01-9999
11916,d002,22-07-1988,13-09-1989
12011,d007,22-07-1988,01-01-9999
19602,d004,22-07-1988,01-01-9999
14672,d009,23-07-1988,21-05-1995
10269,d004,24-07-1988,01-01-9999
14129,d005,24-07-1988,06-09-1997
21654,d004,24-07-1988,23-01-1994
10588,d004,25-07-1988,01-01-9999
20083,d003,26-07-1988,09-04-1994
13860,d001,27-07-1988,01-01-9999
13992,d002,27-07-1988,01-01-9999
16189,d005,27-07-1988,01-01-9999
11960,d008,28-07-1988,01-01-9999
13154,d007,29-07-1988,01-01-9999
13343,d003,29-07-1988,06-05-1995
14876,d004,29-07-1988,01-01-9999
21399,d005,29-07-1988,01-01-9999
10791,d005,30-07-1988,01-01-9999
15543,d004,30-07-1988,01-01-9999
16113,d007,30-07-1988,17-03-2001
19096,d007,30-07-1988,01-01-9999
13177,d005,31-07-1988,01-06-1998
14185,d001,01-08-1988,01-01-9999
20923,d007,02-08-1988,01-01-9999
20296,d005,03-08-1988,01-01-9999
14620,d004,04-08-1988,01-01-9999
17445,d005,04-08-1988,01-01-9999
19900,d006,04-08-1988,29-05-1995
21678,d002,04-08-1988,01-01-9999
10689,d003,05-08-1988,01-01-9999
13010,d005,05-08-1988,01-01-9999
14954,d005,05-08-1988,01-01-9999
10551,d006,06-08-1988,01-01-9999
15755,d005,06-08-1988,01-01-9999
17055,d005,06-08-1988,01-01-9999
13926,d001,07-08-1988,01-01-9999
15337,d006,07-08-1988,01-01-9999
15507,d007,07-08-1988,01-01-9999
17698,d005,07-08-1988,01-01-9999
18232,d005,07-08-1988,01-01-9999
18923,d009,07-08-1988,09-01-1996
19256,d009,07-08-1988,01-01-9999
20864,d006,07-08-1988,01-01-9999
12493,d005,08-08-1988,04-12-1988
17520,d005,08-08-1988,01-01-9999
18361,d007,08-08-1988,01-01-9999
12020,d002,09-08-1988,01-01-9999
11016,d005,10-08-1988,01-01-9999
21161,d003,10-08-1988,01-01-9999
14449,d005,11-08-1988,01-01-9999
10660,d005,12-08-1988,12-07-1991
14016,d004,12-08-1988,01-01-9999
16028,d004,12-08-1988,01-01-9999
14608,d004,13-08-1988,01-01-9999
17489,d003,13-08-1988,01-01-9999
18578,d004,13-08-1988,01-01-9999
10924,d007,14-08-1988,01-01-9999
15376,d008,14-08-1988,01-03-2001
16488,d008,14-08-1988,01-01-9999
20266,d007,14-08-1988,01-01-9999
18146,d004,15-08-1988,01-01-9999
19628,d007,15-08-1988,01-01-9999
21229,d005,15-08-1988,01-01-9999
21447,d004,16-08-1988,01-01-9999
13244,d008,17-08-1988,02-09-1996
14514,d005,17-08-1988,14-03-1997
14391,d009,18-08-1988,01-01-9999
21508,d007,18-08-1988,09-10-2000
10797,d005,21-08-1988,02-06-1997
14225,d005,22-08-1988,01-01-9999
16755,d002,23-08-1988,01-01-9999
20253,d005,23-08-1988,16-10-1995
21663,d005,24-08-1988,01-01-9999
12343,d009,25-08-1988,03-09-2000
16651,d007,25-08-1988,01-01-9999
18901,d004,25-08-1988,01-01-9999
13392,d007,26-08-1988,01-01-9999
13566,d004,26-08-1988,01-01-9999
11681,d004,27-08-1988,01-01-9999
18395,d004,27-08-1988,27-04-1995
10404,d005,28-08-1988,01-01-9999
13527,d004,28-08-1988,01-01-9999
15351,d001,28-08-1988,12-09-1988
14247,d004,29-08-1988,08-05-1993
14351,d005,29-08-1988,07-11-1994
15281,d005,29-08-1988,01-01-9999
11797,d007,30-08-1988,28-09-1996
13213,d007,30-08-1988,01-01-9999
16674,d005,30-08-1988,01-01-9999
20459,d001,30-08-1988,01-01-9999
12541,d007,31-08-1988,01-01-9999
17355,d005,31-08-1988,01-01-9999
12615,d005,01-09-1988,01-01-9999
17817,d004,01-09-1988,01-01-9999
10088,d007,02-09-1988,21-03-1992
10144,d003,02-09-1988,10-08-1993
13794,d004,02-09-1988,24-08-1993
15109,d004,03-09-1988,01-01-9999
18183,d007,04-09-1988,01-01-9999
10035,d004,05-09-1988,01-01-9999
11990,d005,05-09-1988,01-01-9999
18953,d005,05-09-1988,01-01-9999
21101,d005,06-09-1988,13-11-1990
10501,d005,08-09-1988,01-01-9999
12589,d005,08-09-1988,01-01-9999
19724,d007,09-09-1988,01-01-9999
13169,d007,10-09-1988,01-01-9999
16891,d001,10-09-1988,16-12-1995
18263,d009,10-09-1988,02-08-1997
16357,d004,11-09-1988,01-01-9999
20095,d004,11-09-1988,01-01-9999
12365,d004,12-09-1988,01-01-9999
15311,d004,12-09-1988,01-01-9999
15351,d009,12-09-1988,01-01-9999
20462,d007,13-09-1988,11-09-2001
21058,d003,13-09-1988,01-01-9999
13193,d004,14-09-1988,01-01-9999
15087,d004,14-09-1988,01-01-9999
16411,d005,14-09-1988,01-01-9999
19002,d008,14-09-1988,01-01-9999
19636,d004,14-09-1988,20-05-1999
20990,d004,14-09-1988,10-07-1989
11725,d004,15-09-1988,16-07-2001
15990,d004,15-09-1988,26-04-1997
12620,d007,16-09-1988,01-01-9999
17298,d007,16-09-1988,01-01-9999
20372,d007,16-09-1988,01-01-9999
14929,d008,17-09-1988,01-01-9999
11702,d005,18-09-1988,14-09-1995
14710,d001,18-09-1988,01-01-9999
14355,d005,19-09-1988,01-01-9999
16364,d007,19-09-1988,01-01-9999
17188,d005,19-09-1988,01-01-9999
18166,d007,20-09-1988,01-01-9999
21339,d001,20-09-1988,28-10-1997
15122,d005,21-09-1988,01-10-1988
21286,d004,22-09-1988,01-01-9999
10429,d005,23-09-1988,01-01-9999
11110,d004,23-09-1988,30-03-1992
12908,d003,23-09-1988,01-01-9999
15113,d007,23-09-1988,26-01-1993
18721,d004,23-09-1988,25-11-1997
21476,d007,23-09-1988,01-01-9999
10175,d001,24-09-1988,24-05-1995
11238,d005,24-09-1988,14-02-1999
12528,d009,24-09-1988,01-01-9999
17716,d006,24-09-1988,01-01-9999
18506,d005,24-09-1988,01-01-9999
12631,d004,25-09-1988,01-01-9999
14675,d003,25-09-1988,01-01-9999
17345,d003,25-09-1988,01-01-9999
17500,d004,25-09-1988,01-01-9999
19344,d008,25-09-1988,01-01-9999
11640,d005,26-09-1988,01-01-9999
20217,d003,26-09-1988,01-01-9999
20981,d008,26-09-1988,01-01-9999
12592,d004,27-09-1988,01-01-9999
13711,d009,27-09-1988,01-01-9999
16478,d002,27-09-1988,11-09-1998
10143,d005,30-09-1988,01-01-9999
12149,d007,01-10-1988,01-01-9999
13961,d004,01-10-1988,01-01-9999
12928,d005,02-10-1988,01-01-9999
10575,d004,04-10-1988,22-11-2000
11128,d004,04-10-1988,01-01-9999
15920,d005,04-10-1988,26-03-1993
17572,d005,04-10-1988,01-01-9999
17612,d006,04-10-1988,01-01-9999
18322,d004,04-10-1988,01-01-9999
20680,d002,04-10-1988,01-01-9999
19432,d007,05-10-1988,01-01-9999
10821,d005,06-10-1988,17-04-1990
11450,d006,06-10-1988,13-07-2000
21656,d005,06-10-1988,24-11-1992
10536,d007,07-10-1988,01-01-9999
11570,d001,07-10-1988,01-01-9999
12232,d007,07-10-1988,01-01-9999
17103,d005,07-10-1988,21-05-1996
14206,d004,08-10-1988,29-09-1991
17814,d004,08-10-1988,01-01-9999
17048,d006,09-10-1988,01-01-9999
17930,d001,09-10-1988,19-08-1994
13821,d008,10-10-1988,01-01-9999
12014,d006,11-10-1988,01-01-9999
17944,d005,11-10-1988,01-01-9999
20305,d007,11-10-1988,08-09-1994
20840,d009,11-10-1988,24-04-1997
13729,d005,12-10-1988,01-01-9999
15372,d007,12-10-1988,01-01-9999
17420,d007,13-10-1988,01-01-9999
21683,d009,13-10-1988,01-01-9999
15071,d007,15-10-1988,01-01-9999
16939,d006,15-10-1988,01-01-9999
18443,d007,15-10-1988,01-01-9999
15938,d007,16-10-1988,01-01-9999
17371,d008,16-10-1988,01-01-9999
11987,d009,17-10-1988,14-09-1993
14007,d002,17-10-1988,01-01-9999
14498,d003,17-10-1988,01-01-9999
18280,d004,17-10-1988,30-08-1994
10099,d007,18-10-1988,01-01-9999
13769,d007,18-10-1988,01-01-9999
19147,d007,18-10-1988,01-01-9999
20259,d006,18-10-1988,01-01-9999
10332,d004,20-10-1988,07-03-1997
20413,d005,20-10-1988,01-01-9999
21299,d007,20-10-1988,21-11-1998
16649,d006,21-10-1988,27-11-1992
18211,d004,22-10-1988,24-01-1996
18643,d004,22-10-1988,01-01-9999
18993,d005,22-10-1988,01-01-9999
19092,d004,22-10-1988,06-05-1991
19984,d004,22-10-1988,25-11-2001
11628,d005,23-10-1988,23-04-1995
11036,d002,24-10-1988,01-01-9999
13803,d005,24-10-1988,01-01-9999
14600,d009,24-10-1988,01-01-9999
13441,d004,25-10-1988,07-11-1989
19882,d003,25-10-1988,01-01-9999
21686,d004,25-10-1988,01-01-9999
13546,d004,26-10-1988,01-01-9999
14429,d001,26-10-1988,07-03-1992
16969,d005,26-10-1988,01-01-9999
17151,d002,26-10-1988,01-01-9999
21247,d006,26-10-1988,11-06-1994
18629,d005,27-10-1988,21-01-1989
19479,d004,27-10-1988,01-01-9999
13250,d004,28-10-1988,01-01-9999
17582,d005,28-10-1988,01-01-9999
21615,d004,28-10-1988,01-01-9999
19134,d007,29-10-1988,01-01-9999
11962,d007,30-10-1988,01-01-9999
21677,d009,30-10-1988,01-01-9999
10305,d005,31-10-1988,02-06-1992
18947,d005,31-10-1988,14-10-1998
21106,d001,31-10-1988,01-01-9999
14373,d007,01-11-1988,10-09-1997
12396,d004,02-11-1988,01-01-9999
15019,d004,02-11-1988,16-06-1991
10320,d007,03-11-1988,23-12-2001
11525,d001,03-11-1988,26-09-1998
11751,d008,03-11-1988,01-01-9999
14402,d006,03-11-1988,01-01-9999
18638,d003,03-11-1988,27-10-2001
14629,d004,04-11-1988,26-06-2002
16046,d005,04-11-1988,01-01-9999
19981,d004,04-11-1988,01-01-9999
14407,d004,05-11-1988,01-01-9999
15371,d007,05-11-1988,01-01-9999
19476,d005,05-11-1988,01-01-9999
21566,d007,06-11-1988,01-01-9999
13555,d007,07-11-1988,01-01-9999
14236,d008,07-11-1988,01-01-9999
15485,d004,07-11-1988,01-01-9999
21172,d004,07-11-1988,01-01-9999
21589,d009,07-11-1988,01-01-9999
11491,d005,08-11-1988,01-01-9999
12884,d005,09-11-1988,01-01-9999
14580,d005,09-11-1988,01-01-9999
14626,d006,09-11-1988,11-02-1999
15002,d004,09-11-1988,04-10-1992
14682,d006,10-11-1988,15-01-2000
15594,d005,10-11-1988,01-01-9999
11052,d009,11-11-1988,05-05-1991
17361,d008,11-11-1988,27-12-2001
17575,d005,11-11-1988,01-01-9999
19612,d009,11-11-1988,01-01-9999
20794,d005,11-11-1988,07-12-1991
21144,d007,12-11-1988,01-01-9999
20815,d006,13-11-1988,01-01-9999
12070,d005,14-11-1988,01-01-9999
13828,d005,14-11-1988,06-02-1990
20615,d006,14-11-1988,01-01-9999
11775,d005,15-11-1988,01-01-9999
18758,d005,15-11-1988,01-01-9999
14855,d005,16-11-1988,07-12-1996
11746,d007,17-11-1988,01-01-9999
11853,d001,17-11-1988,01-01-9999
16597,d002,17-11-1988,01-01-9999
18078,d005,17-11-1988,01-01-9999
18436,d004,18-11-1988,16-05-2001
15993,d005,19-11-1988,01-01-9999
19492,d007,19-11-1988,23-12-1989
16517,d009,20-11-1988,01-01-9999
18393,d004,20-11-1988,01-01-9999
11771,d009,22-11-1988,10-04-1996
21225,d002,22-11-1988,09-06-2000
11569,d005,23-11-1988,01-01-9999
13858,d008,23-11-1988,01-01-9999
15378,d007,23-11-1988,01-01-9999
16268,d004,23-11-1988,11-02-1997
12312,d004,24-11-1988,18-12-1996
15947,d004,24-11-1988,01-01-9999
17045,d009,24-11-1988,01-01-9999
19419,d007,25-11-1988,01-01-9999
20693,d005,25-11-1988,01-01-9999
14472,d007,26-11-1988,01-01-9999
10958,d005,27-11-1988,01-01-9999
17613,d004,27-11-1988,02-06-1993
19548,d003,27-11-1988,01-01-9999
14392,d004,28-11-1988,01-01-9999
14927,d005,28-11-1988,01-01-9999
12587,d002,29-11-1988,18-01-1989
16599,d005,30-11-1988,01-01-9999
12903,d007,01-12-1988,28-09-1992
15540,d005,01-12-1988,01-01-9999
17712,d002,02-12-1988,04-04-1999
14095,d007,03-12-1988,01-01-9999
17170,d007,03-12-1988,01-01-9999
11356,d004,04-12-1988,01-01-9999
12975,d004,04-12-1988,01-01-9999
17696,d004,04-12-1988,01-01-9999
17892,d002,04-12-1988,01-01-9999
18681,d004,04-12-1988,02-07-2001
20749,d009,04-12-1988,01-01-9999
16356,d001,05-12-1988,01-01-9999
19478,d003,05-12-1988,21-01-1990
20231,d008,05-12-1988,18-08-1994
16255,d004,06-12-1988,23-03-2001
13912,d004,07-12-1988,01-01-9999
20069,d003,08-12-1988,01-01-9999
11563,d009,10-12-1988,01-01-9999
19394,d002,10-12-1988,25-04-2001
19499,d005,10-12-1988,01-01-9999
17147,d003,12-12-1988,01-01-9999
12943,d007,15-12-1988,01-01-9999
17860,d006,15-12-1988,23-12-1997
21716,d007,15-12-1988,01-01-9999
11863,d005,16-12-1988,01-01-9999
12238,d005,16-12-1988,29-10-1995
13521,d006,16-12-1988,18-02-1991
14344,d004,16-12-1988,01-01-9999
16248,d004,16-12-1988,01-01-9999
19825,d005,16-12-1988,01-01-9999
11378,d008,17-12-1988,01-01-9999
17164,d005,17-12-1988,01-01-9999
19270,d005,17-12-1988,01-01-9999
10111,d006,19-12-1988,01-01-9999
13784,d001,19-12-1988,24-01-2001
15574,d002,19-12-1988,01-01-9999
15861,d001,19-12-1988,01-01-9999
11394,d009,20-12-1988,01-01-9999
14941,d005,22-12-1988,01-01-9999
15879,d005,22-12-1988,29-06-1989
17857,d005,22-12-1988,02-04-2002
19505,d002,22-12-1988,01-01-9999
12254,d004,23-12-1988,31-10-1989
18222,d005,23-12-1988,30-01-1998
19025,d007,23-12-1988,13-01-1998
14985,d007,24-12-1988,01-01-9999
15752,d009,24-12-1988,05-05-1990
10907,d003,25-12-1988,01-01-9999
11371,d005,25-12-1988,01-01-9999
19137,d007,25-12-1988,01-01-9999
21612,d007,25-12-1988,01-01-9999
14983,d001,26-12-1988,01-01-9999
20498,d005,26-12-1988,01-01-9999
21382,d005,26-12-1988,19-04-2000
14175,d005,27-12-1988,01-01-9999
14409,d007,27-12-1988,01-01-9999
14963,d004,27-12-1988,01-01-9999
10447,d006,29-12-1988,15-11-2000
15362,d005,30-12-1988,01-01-9999
19869,d007,30-12-1988,01-01-9999
21693,d007,30-12-1988,28-07-1992
11414,d001,02-01-1989,06-10-1997
13306,d005,02-01-1989,01-01-9999
16164,d004,02-01-1989,19-10-1990
12912,d009,03-01-1989,01-01-9999
16782,d007,03-01-1989,01-01-9999
10980,d005,04-01-1989,01-01-9999
13739,d005,04-01-1989,23-02-1995
21285,d002,04-01-1989,01-01-9999
12292,d004,05-01-1989,01-01-9999
16559,d005,05-01-1989,01-01-9999
10741,d001,06-01-1989,01-01-9999
11240,d005,06-01-1989,01-01-9999
13923,d005,06-01-1989,05-02-1999
11989,d004,07-01-1989,01-01-9999
14388,d001,07-01-1989,01-01-9999
14414,d004,07-01-1989,01-01-9999
13380,d003,08-01-1989,01-01-9999
15191,d005,08-01-1989,01-01-9999
18374,d001,08-01-1989,01-01-9999
20136,d004,08-01-1989,01-01-9999
16152,d001,09-01-1989,01-01-9999
17580,d002,09-01-1989,24-07-1993
17970,d004,09-01-1989,01-01-9999
10089,d007,10-01-1989,01-01-9999
20476,d007,11-01-1989,01-01-9999
11360,d007,12-01-1989,01-01-9999
14379,d004,12-01-1989,10-02-1992
19536,d006,12-01-1989,01-01-9999
12899,d003,13-01-1989,01-01-9999
16321,d009,13-01-1989,01-01-9999
20049,d002,14-01-1989,01-01-9999
21664,d002,14-01-1989,01-01-9999
17717,d003,15-01-1989,01-01-9999
17650,d004,16-01-1989,01-01-9999
18825,d009,16-01-1989,01-01-9999
10722,d001,17-01-1989,14-04-2000
12587,d003,18-01-1989,01-01-9999
13410,d007,19-01-1989,01-01-9999
15992,d005,19-01-1989,01-01-9999
19267,d003,19-01-1989,01-01-9999
16204,d004,20-01-1989,01-01-9999
19967,d004,20-01-1989,01-01-9999
17718,d003,21-01-1989,01-01-9999
18629,d008,21-01-1989,01-01-9999
12127,d001,22-01-1989,01-01-9999
21486,d007,22-01-1989,01-01-9999
11796,d002,23-01-1989,01-01-9999
14617,d004,23-01-1989,01-01-9999
18945,d005,24-01-1989,01-01-9999
21135,d007,25-01-1989,19-01-1999
15326,d007,26-01-1989,09-12-1990
19541,d002,26-01-1989,04-05-1994
11097,d007,28-01-1989,26-07-1992
21190,d005,28-01-1989,01-01-9999
12566,d003,29-01-1989,01-01-9999
14152,d006,30-01-1989,01-01-9999
17961,d007,30-01-1989,05-06-1990
20613,d005,30-01-1989,01-01-9999
15277,d007,31-01-1989,28-09-1999
16540,d007,01-02-1989,22-10-1996
19415,d001,01-02-1989,01-01-9999
14226,d005,03-02-1989,01-01-9999
11741,d002,04-02-1989,01-01-9999
18122,d005,04-02-1989,01-01-9999
20024,d004,05-02-1989,01-01-9999
13662,d008,06-02-1989,01-01-9999
20280,d009,06-02-1989,01-01-9999
21713,d002,06-02-1989,01-01-9999
19633,d005,07-02-1989,01-01-9999
20134,d004,07-02-1989,01-01-9999
18535,d005,08-02-1989,25-06-1992
19081,d007,09-02-1989,01-01-9999
10007,d008,10-02-1989,01-01-9999
19779,d002,10-02-1989,19-04-1999
11292,d005,11-02-1989,01-01-9999
20214,d009,11-02-1989,20-07-1995
17515,d005,12-02-1989,01-01-9999
14077,d005,13-02-1989,14-09-1990
14192,d005,13-02-1989,06-04-2002
15158,d005,13-02-1989,01-01-9999
